Sprint Name,Weeks,Epic,User Story / Task,Priority,Status
Sprint 0: Foundation & Design Systems,1/2/2025,Project Setup,Set up GitHub repository with main and staging branches.,Critical,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Project Setup,Set up Vercel project and link to GitHub for CI/CD.,Critical,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Project Setup,Purchase and configure the primary domain name.,Critical,To Do
Sprint 0: Foundation & Design Systems,1/2/2025,Account Config,"Set up Shopify store, install Headless channel, and generate Storefront API keys.",Critical,In Progress
Sprint 0: Foundation & Design Systems,1/2/2025,Account Config,"Set up Cloudinary account, configure DAM, and generate API keys.",Critical,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Account Config,"Set up Google Workspace for business email (e.g., support@yourbrand.com).",High,To Do
Sprint 0: Foundation & Design Systems,1/2/2025,Account Config,"Create accounts for Klaviyo, Gorgias, Algolia, Cookiebot, and Microsoft Clarity.",Medium,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Design,"Finalize brand guidelines (logo, typography, color palette).",Critical,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Design,"Create high-fidelity mockups/prototypes in Figma for key pages (Homepage, PLP, PDP, Cart).",Critical,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Development,Initialize Next.js project and install core dependencies (Tailwind CSS).,High,Done
Sprint 0: Foundation & Design Systems,1/2/2025,Development,"Set up project structure, environment variables (.env) for all API keys.",High,In Progress
Sprint 0: Foundation & Design Systems,1/2/2025,Development,"Decide and configure client-side state management solution (e.g., React Context, Zustand).",High,To Do
Sprint 1: Core Product Experience,3/4/2025,Core Commerce,"USER STORY: As a shopper, I want to view a collection of products on a Product Listing Page (PLP).",Critical,To Do
Sprint 1: Core Product Experience,3/4/2025,Core Commerce,TASK: Define and test core GraphQL queries in Shopify's GraphiQL App.,High,To Do
Sprint 1: Core Product Experience,3/4/2025,Core Commerce,TASK: Develop reusable Product Card component based on Figma designs.,High,To Do
